Title,Link,Date,Content
最低工資要調漲！工商協進會：不宜偏離3%太多,https://tw.stock.yahoo.com/news/%E6%9C%80%E4%BD%8E%E5%B7%A5%E8%B3%87%E8%A6%81%E8%AA%BF%E6%BC%B2%EF%BC%81%E5%B7%A5%E5%95%86%E5%8D%94%E9%80%B2%E6%9C%83%EF%BC%9A%E4%B8%8D%E5%AE%9C%E5%81%8F%E9%9B%A23%E5%A4%AA%E5%A4%9A-105302149.html,,"勞動部將於9月4日上午召開最低工資審議會議，討論最低工資之調幅。對此，工商協進會今（2）日也給出建議，他們表示，同意，但幅度不宜偏離3%太多。 工商協進會指出，員工是企業運作的重要資產與成長動能，經濟增長之果實理應與員工共享，且近年來通貨膨脹加劇，物價上漲，調升最低工資有助於緩解弱勢勞工生活負擔。 工商協進會表示，贊成在最低工資審議機制下，審慎評估整體經濟數據後，調升最低工資。 但政府自105年起，已連續9年調升最低工資(時薪自新台幣120元調至183元，總調幅為52.5%，月薪自20,008元調升至27,470元，總調幅為37.3%)，調幅不小，對於企業帶來一定程度的壓力。 同時根據財政部統計，我國112年綜所稅稅收淨額增加8.29%，主因之一為薪資所得增加；但營所稅額卻因企業獲利下滑，衰退21.44%。 另根據經濟部公布之「112年中小企業白皮書」亦顯示，中小企業仍面臨「利潤縮小、毛利降低」的困境。 政府在調升最低工資時應參酌企業獲利狀況與整體經濟趨勢進行判斷，同時最低工資審議會研究小組應納入更多產業別代表，讓最低工資調整的討論更加聚焦、公正、具說服力。 行政院日前核定軍公教人員待遇自明年起調薪3%，建議最低工資審議會審議明年最低工資調升幅度亦應以此作為重要參考指標，不宜偏離太多，盼能降低中小企業經營成本逐年上升之壓力。 ⭐手刀加入！Yahoo奇摩Line理財官方帳號⭐"
租屋補貼助漲房租？內政部駁斥：已實質照顧租屋族,https://tw.news.yahoo.com/%E7%A7%9F%E5%B1%8B%E8%A3%9C%E8%B2%BC%E5%8A%A9%E6%BC%B2%E6%88%BF%E7%A7%9F-%E5%85%A7%E6%94%BF%E9%83%A8%E9%A7%81%E6%96%A5-%E5%B7%B2%E5%AF%A6%E8%B3%AA%E7%85%A7%E9%A1%A7%E7%A7%9F%E5%B1%8B%E6%97%8F-112520991.html,,政府推出「租屋補貼」政策，遭外界質疑造成租金上漲。內政部國土管理署今天嚴正駁斥，強調比對政策前後，租金上漲者僅占約6％，租金補貼截至目前已核定62萬餘戶，實質照顧及支持租屋民眾，特別是青年及新婚家庭。 國土署表示，截至目前已累積50萬份以上的租賃契約，經前後比對，顯示租金持平者約占93％、租金上漲者僅占約6％、租金下降者占1％，且租金補貼截至目前為止已核定62萬餘戶，實質照顧及支持租屋民眾。 另針對房東部分，國土署指出，政府是給予公益出租人享有房屋稅、地價稅及綜合所得稅共3項的稅賦優惠，並無外傳免除囤房稅的機制，更不可能鼓勵房東結合投資客進行囤房。 國土署強調，租金補貼政策的推動，對於申請民眾資格是有所得及租金上限等限制，因此其所承租的物件也非屬新屋或新古屋，然而外界在討論租屋市場租金上漲議題時，多數會涵蓋剛使用2~3年的新成屋，或使用5~10年的新古屋，其屋齡輕且承租戶的所得或許比較高，所付出的房租也相對會比較高。 但國土署認為，這類族群不會是領取租金補貼的對象，自111年起開辦300億元中央擴大租金補貼專案，截至今年8月底止，核定補貼戶數從111年核准27.8萬戶到現今已申請受理案件數逾85萬戶，核定件數成長至62.8萬餘戶，顯示租金補貼政策確實存在巨大需求。 為擴大照顧及支持各族群的租屋民眾，國土署預估，租金補貼戶數在114年起會提升至75萬戶，並透過隨到隨辦、舊案帶入免重新申請等簡化流程，以持續照顧更多租屋需求民眾。 國土署也提醒，若房東因房客申請租金補貼進而要求漲租或負擔所增加稅賦，房客可向縣市政府提出申訴及要求改正，如不改正者，可處3萬至30萬元罰鍰；又仍拒不改正者，並可加重處5萬至50萬元罰鍰，且得按次處罰，請勿以身試法。 內政部已責成地政司持續辦理租屋市場資訊透明化之措施，包括在去識別化、保障個資隱私及促進租金透明原則下，今年8月先後公布全國140所大學學區周邊及全國278個行政區的實際租金統計資料。 對於樣本數充足行政區，內政部進一步公布不同租屋型態的租金統計，讓租屋族更易瞭解當地租屋市場租金價格情形，作為選擇合理房租負擔參考。後續也將透過定期公布租金統計資料及精進相關作業，穩定租屋市場租金價格，逐步打破租屋黑市，透明化租屋市場及健全發展。
年化報酬率縮水仍達8.6%！「暴力配息ETF」00934本月預估配0.142元,https://tw.stock.yahoo.com/news/%E5%B9%B4%E5%8C%96%E5%A0%B1%E9%85%AC%E7%8E%87%E7%B8%AE%E6%B0%B4%E4%BB%8D%E9%81%9486%EF%BC%81%E3%80%8C%E6%9A%B4%E5%8A%9B%E9%85%8D%E6%81%AFetf%E3%80%8D00934%E6%9C%AC%E6%9C%88%E9%A0%90%E4%BC%B0%E9%85%8D0142%E5%85%83-101646198.html,,"高股息ETF人氣仍旺！首次配息就一鳴驚人、因年化配息率高達19%被稱作「暴力配息ETF」的中信成長高股息（00934），今（2）日公告第一階段分配評價結果，預估每股配發金額為0.142元，換算年化報酬率約為8.6%。 延伸閱讀：策略結盟強？泰福被列注意股 遭強制公布7月自結獲利EPS虧0.78元 「暴力配息ETF」00934今公告第一階段分配評價結果，此次以保守原則預估每股配發金額為0.142元，以今日收盤價19.78元計算，當期殖利率0.72%、年化報酬率約為8.6%。 至於本次除息交易日為9月18日，9月16日買進並持有就能參加除息，收益分配發放日為10月15日。 中信投信表示，第三季台股終止上半年的「驚驚漲」態勢，波動轉趨劇烈，一度從24,000高點回檔近5,000點，近期才反彈至22,000點上。不過投資人仍持續加碼台股ETF，根據集保統計至8月底，台股ETF受益人數已達954萬人，續創新高，其中22檔高股息ETF受益人數達677萬人，更佔據台股ETF受益人數排行榜前五名。 其中，00934自2023年11月1日掛牌至今（截至8月30日），受益人數從一路從掛牌時的2萬9555人攀升至13萬2,831人；今年以來受益人數成長113%，增幅在22檔高股息ETF中排名第4，規模從55億元攀高至327.13億元，大增逾5倍。 經理人張圭慧表示，00934追蹤臺灣優選高股息指數，每年隨台股除息淡旺季，共調整2次，4月除權息旺季著重股息累積、9月除權息淡季搶攻資本成長，兼具股息收入、資本利得增長兩大效益。本月底即將進行成分股調整，可望趕上第四季電子產品出口旺季，並率先搭上明年營運展望佳企業的成長列車。 展望後市，張圭慧認為，儘管近期大盤高檔震盪，不過台灣經濟基本面穩定復甦，7月景氣對策信號雖轉為黃紅燈，但主要是因凱米颱風影響部分生產及出貨遞延，觀察經濟領先指標持續上升，第四季邁入電子產品出口旺季，台股後市不看淡。投資人可採逢低買進策略，並透過一籃子優質股票布局高股息ETF，掌握資本利得及股息收益的機會。 另外，00934已於8月5日開始實施收益平準金機制，以避免除息前夕大量申購導致股息被稀釋，當達到收益平準金的啟動標準時，且符合實際配息率低於參考配息率，以及有稀釋配息率之虞時，即可將部分收益平準金加入該期的配息中，提供相對穩定的配息來源。 ⭐手刀加入！Yahoo奇摩Line理財官方帳號⭐"
螺絲業寒冬! 外銷訂單萎縮 岡山多家業者陷經營困境,https://tw.news.yahoo.com/%E8%9E%BA%E7%B5%B2%E6%A5%AD%E5%AF%92%E5%86%AC-%E5%A4%96%E9%8A%B7%E8%A8%82%E5%96%AE%E8%90%8E%E7%B8%AE-%E5%B2%A1%E5%B1%B1%E5%A4%9A%E5%AE%B6%E6%A5%AD%E8%80%85%E9%99%B7%E7%B6%93%E7%87%9F%E5%9B%B0%E5%A2%83-102719820.html,,南部中心／陳姵妡、廖錦雄 高雄報導 台灣有「螺絲王國」的美名，但因烏俄戰爭跟景氣夾殺，國際訂單驟減，外銷訂單年年萎縮，也讓螺絲重鎮的高雄岡山地區，有多家業者營運出現困難，短期內有十幾家業者調整營業，螺絲相關產業，恐將進入冰河期。  機器不斷旋轉，螺絲上游抽線工廠，進行第一道抽線加工，其他產線靜悄悄。員工：「以前大概1200公噸到1600公噸，現在都不到100公噸。」員工：「我們大家都做起碼都有16年以上了，訂單整個是0啦，來都是沒有機台在動這樣子。」陪公司走過輝煌時期的老員工都很感嘆，但抽線廠已有產線停工，製造部門也即將結束，變賣廠房設備，業者坦言，巔峰時期每年營收破三億，現在每月虧損百萬元，實在撐不下去。螺絲業上游抽線廠業者楊文章坦言：「我這個線材廠，我算小型的，根本沒辦法生存，我現在一個月接的單，我一天就生產完了。」 下游螺絲工廠同樣氣氛低迷，業者透露，烏俄戰爭跟景氣夾殺，國際訂單驟減，產值比起2022年，只剩下一半，業者只能硬撐。螺絲廠業者黃國豪表示：「目前歐洲訂單可以說是消失，前一兩年的確他們通膨很嚴重，戰爭也有影響，但部分的消息是都轉單到中國。」根據螺絲公會資料，短期內已經有近20家螺絲相關產業退出市場，數據來看，2022年產量高峰是168公噸，去年只剩127多噸，衰退兩成，而外銷金額也從63.5億美元降到47.7億美元，今年明顯更低迷。台灣螺絲公會總幹事 黃世宗：「因為中國傾銷，他們賣的是我們成本價，要怎麼去賣，有的是越南的、有的是韓國的螺絲，也都很便宜啊。」高雄岡山是螺絲重鎮，但相關產業中已經有多家業者出現歇業潮，現存的螺絲工廠後續如何轉型，提高競爭力，恐怕是接下來面臨的一大課題。 原文出處：螺絲業寒冬！外銷訂單驟減 相關產業現歇業潮 更多民視新聞報導吳田玉：AI改變經濟 半導體要跨界合作台積電赴日 經部擬在九州設服務公司助供應鏈落地「這4檔」高息ETF今宣佈配息金額 最高收益率11.6%
南市為弱勢投保微型保險人數居冠  南山人壽再捐助微型火災不便費用保險,https://tw.news.yahoo.com/%E5%8D%97%E5%B8%82%E7%82%BA%E5%BC%B1%E5%8B%A2%E6%8A%95%E4%BF%9D%E5%BE%AE%E5%9E%8B%E4%BF%9D%E9%9A%AA%E4%BA%BA%E6%95%B8%E5%B1%85%E5%86%A0-%E5%8D%97%E5%B1%B1%E4%BA%BA%E5%A3%BD%E5%86%8D%E6%8D%90%E5%8A%A9%E5%BE%AE%E5%9E%8B%E7%81%AB%E7%81%BD%E4%B8%8D%E4%BE%BF%E8%B2%BB%E7%94%A8%E4%BF%9D%E9%9A%AA-113745141.html,,"[Newtalk新聞] 南山人壽慈善基金會、南山產物保險公司響應台南市照顧弱勢優先，自111年起與台南市政府共同合作，為台南市65-75歲中低收老人辦理微型保險，今年再度針對全市列冊低收入戶、中低收入戶提供「微型火災不便費用保險」，約3萬5千 人受惠。社會局長盧禹璁局長今（2）日代表市長致贈感謝狀給南山人壽慈善基金會董事李淑娟及南山產物保險公司副總經理楊蕙菁，感謝提供弱勢民眾基本保障。 台南市目前為弱勢民眾投保微型保險人數為7萬8,506人，依據中華民國人壽保險商業同業公會公布各縣市微型保險資料顯示，截至今年7月止投保微型保險有效契約人數占比高達13.05%，為全國各縣市第一名。黃市長說考量弱勢家庭受限經濟因素，無多餘財力另行投保商業保險，社會局自109年起陸續針對轄內列冊低收、中低收入戶、身心障礙、經濟弱勢家庭兒少生活扶助者及特境家庭戶內成員及中低收入老人等投保30~50萬元微型保險，費用由民間公益團體捐贈，若不慎發生意外事故致失能或身故可獲得基本理賠金，特別感謝多家保險業者及民間單位的共同投入，提供弱勢家戶基本保障。 盧禹璁表示，此次捐贈「台南市微型保險火災不便費用保險」，由社會局與南山人壽慈善基金會共同合作，為全市列冊低收入戶及中低收入戶主動投保，提供其因火災事故時能獲得不便險的補償費用。保險期間為期一年，當被保險人居住處所遭遇火災事故時，建築物或屋內物品毀損，能獲得每人定額新台幣8,000元的火災不便費用保險金保障額度（同一事故給付一次，保險期間內最高給付次數以2次為限），保險費用由財團法人南山人壽慈善基金會全額捐助。 社會局說明，此次承保單位為南山產物保險股份有限公司，投保程序簡單便民，由社會局提供符合資格之名冊給該公司核保後納保，符合投保身分者無需自行繳納保費，由微型保險計畫共同合作單位捐助支應。若台南市民對各項「微型保險」有疑問，可洽06-2552330社會局社會救助科王社工。 查看原文 更多Newtalk新聞報導罕見！解放軍「運-9LG」遠程干擾電戰平台機現身泰國只開放花蓮文旦柚輸中？陸委會：把經貿當統戰工具"
國際半導體展週三登場 日月光執行長:從未見過如此大陣仗,https://tw.news.yahoo.com/%E5%9C%8B%E9%9A%9B%E5%8D%8A%E5%B0%8E%E9%AB%94%E5%B1%95%E9%80%B1%E4%B8%89%E7%99%BB%E5%A0%B4-%E6%97%A5%E6%9C%88%E5%85%89%E5%9F%B7%E8%A1%8C%E9%95%B7-%E5%BE%9E%E6%9C%AA%E8%A6%8B%E9%81%8E%E5%A6%82%E6%AD%A4%E5%A4%A7%E9%99%A3%E4%BB%97-111052982.html,,財經中心／楊思敏、胡崇恩 台北報導 國際半導體展即將9/4登場，預計有8萬5千人參觀，日月光執行長吳田玉說，過去40年來，半導體業從沒見過如此大陣仗，在AI浪潮下，生意更是好到無法交貨。經濟部長郭智輝出席活動時，也針對到日本設科學園區，和美國前總統川普嗆台灣搶走晶片生意，做出回應。 國際半導體展將在9/4到9/6展開，今年新增AI、智慧移動、矽光子和精密機械四大科技主題，預估會有8萬5千人參觀，報名人數比去年還多出一半以上。主辦方形容，半導體界的奧林匹克就辦在台灣，除了美國官方首次參展，就連與台灣存在競爭關係的韓國，三星和SK海力士的高層都來台開講。 日月光執行長吳田玉談到，台灣的半導體製造業被推上AI，也就是全世界舞台的第一線，半導體業在過去40年期間，從未見過如此陣仗。他還提到，現在生意好到無法交貨，透過國際合作，能提升台灣半導體價值，台灣有先進製造的優勢，但完全沒有記憶體的優勢，所以在目前的情勢下，應該要廣結善緣、多交朋友。 同場出席活動的經濟部長郭智輝也談到在日本設科學園區，協助台廠落腳的計畫。他表示，會是服務中心的概念，「用我們在台灣的科學園區，然後它是一站式的服務，我們不會在熊本，我們應該會在九州，來服務所有的供應鏈廠商。」 台灣半導體扮演關鍵角色，但在地緣政治風險下，難免牽扯其中。外媒關心，如果前美國總統川普再次當選，要如何說服他，台灣並沒有偷走美國的晶片生意。 郭智輝強調：「台灣當然是沒有偷走美國的晶片業，台灣是幫助美國的晶片業者，在製造上面來互補，那麼我們所做出來的晶片，都是美國業者他們所委託生產的晶片，所以毛利率最高的還是美國的業者。」 大家同在一條船上，強調美國毛利率更高，對於川普的誤會，有機會會向美方說明清楚。  原文出處：國際半導體展本週登場！ 預計吸逾８萬人參觀 更多民視新聞報導半導體展逾1100家廠商力挺 AI先進封裝成焦點吳田玉：AI改變經濟 半導體要跨界合作台積電赴日 經部擬在九州設服務公司助供應鏈落地
前金管會副主委鄭貞茂重返金融圈  任台新投信董事長,https://tw.news.yahoo.com/%E5%89%8D%E9%87%91%E7%AE%A1%E6%9C%83%E5%89%AF%E4%B8%BB%E5%A7%94%E9%84%AD%E8%B2%9E%E8%8C%82%E9%87%8D%E8%BF%94%E9%87%91%E8%9E%8D%E5%9C%88-%E4%BB%BB%E5%8F%B0%E6%96%B0%E6%8A%95%E4%BF%A1%E8%91%A3%E4%BA%8B%E9%95%B7-113337234.html,,（中央社記者謝方娪台北2日電）台新金今天代子公司公告台新投信董事長吳光雄退休，董事會推舉前陽明海運董事長鄭貞茂接任董事長。鄭貞茂亦曾任金管會政務副主委、國發會副主委等職。 台新金8月29日甫代子公司公告台新投信改派法人董事代表人，由鄭貞茂接替吳光雄，自9月1日起擔任台新投信法人董事代表，台新金今天進一步公告，台新投信董事長吳光雄退休，今天起由鄭貞茂接任台新投信董事長。 鄭貞茂過往曾任金管會副主委、全國農業金庫總經理、台灣金融研訓院長、保險安定基金顧問、國立政治大學財務金融學系兼任副教授、花旗銀行財務處副總裁兼首席經濟學家、台經院研究六所助理研究員等職，在公部門、金融業及智庫均有深厚歷練，今年7月起底卸下陽明海運董事長職務後，如今重返金融圈。 台新金今年啟動一連串人事布局調整，包括延攬前經濟部長王美花擔任台新金暨台新銀行獨立董事、前華南金董事長張雲鵬任台新銀行董事，前台灣大學校長楊泮池及前全球人壽董事劉積瑄獲延攬任台新人壽董事。 投信投顧子公司方面，今年台新金除了找來鄭貞茂接任台新投信新任董事長外，亦延攬前聯卡中心董事長劉燈城任台新投信董事，前中小企業信用保證基金總經理洪素珍擔任台新投顧董事長。（編輯：林克倫）1130902
外資賣超159億元 但這4檔金融股竟同獲外資買超逾萬張,https://tw.news.yahoo.com/%E5%A4%96%E8%B3%87%E8%B3%A3%E8%B6%85159%E5%84%84%E5%85%83-%E4%BD%86%E9%80%994%E6%AA%94%E9%87%91%E8%9E%8D%E8%82%A1%E7%AB%9F%E5%90%8C%E7%8D%B2%E5%A4%96%E8%B3%87%E8%B2%B7%E8%B6%85%E9%80%BE%E8%90%AC%E5%BC%B5-114259168.html,,"台股2日開高走低，終場收22,235.1點，下跌32.99點，但三大法人僅投信買買超，外資則是賣超159.88億元，統計外資單日買賣超個股第一名都是金融股，尤其是外資買超的前四名都由金融股包辦，買超富邦金（2881）16,069張最高，遭外資賣超最多的則是中信金。 台股早盤以22,341.9點開出，上漲73.81點，盤中一度上漲逾百點，最高曾達22,439.31點，但10時過後指數翻黑，一度下滑至22,178.04點，權王台積電以948元收盤，上漲4元、漲幅0.42%，聯發科、鴻海收黑，大立光以平盤作收，盤面上以蘋概、網通、折疊機等股的表現較為強勢，大盤指數以22,235.1點收盤。 統計三大法人賣超177.86億元，其中，外資賣超159.88億元，投信買超50.69億元，自營商賣超（合計）68.67億元，其中自營商（自行買賣）賣超4.96億元，自營商（避險）賣超63.71億元。 外資雖是大賣超台股，不過，以買超前十名個股來看，金融股為2日外資最青睞的族群，買超前四名都是金融股，其中，買超富邦金16,069張最多，買超第二名則為開發金，單日買超12,936張，外資買超新光金11,715張，高居外資買超第三名，第四名為國泰金，獲外資買超11,662張。 新光題材仍是焦點 台新金與新光金的新新併殺出程咬金，中信金也向金管會送件 ，將公開收購新光金，媒體報導指出，金管會可能附條件開放中信金公開收購新光金，要求中信金簽署對新壽的「增資承諾書」，且要求新壽的增資是由金控出面辦理現金增資。 中信金在8月20日重訊公告「董事會決議通過向金管會申請投資新光金控」，8月23日再進一步提出公開收購新光金，將以現金搭配換股方式公開收購新光金，每股收購對價為1股新光金換發中信金0.3132股及現金4.09元，取得新光金10%至51%股權。 台新金和新光金則是在8月22日同步召開臨時董事會，通過將以「換股方式」進行合併，換股比例為1股新光金換台新金0.6022股，若以新光金停牌前一日價格計算，收購價為11.32元；台新金與新光金預計10月9日開股東臨時會討論新新併。 金融股獲外資追捧 台股2日小跌收盤，金融股則是撐盤指標，金融股終場收漲0.65%，富邦金、國泰金領漲，開發金、中信金、台新金、新光金等都以紅盤作收，外為買超前十大中，金融股占了4檔，且是買超個股的前四大，其中，新光金居外資買超第三名，連二買。 統計外資買超前十大個股依序有富邦金、開發金、新光金、國泰金、訊舟、長榮航、期元大S&P原油反1、燿華、群益優選非投等債、華航等。 統計外資賣超前十大則依序為，為中信金、群創、陽明、群益台灣精選高息、中石化、元大台灣50反1、期街口布蘭特正2、元大滬深300正2、長榮、富邦恒生國企正2等；外資賣超中信金37,809張，連11賣。 延伸閱讀 中信金搶親新光金 外資連11賣、合計賣超逾51萬張 【看原文連結】 更多udn報導巴菲特慶94歲大壽 愛喝可樂及吃雞塊但有5個好習慣雜事多薪水緩漲…她當老師5年想離職 網指引另一條路駿馬全身發亮「雙肩自帶狼頭紋身」 血統源自宋代名畫日客嫌北市動物園舊「可以不用來」 大批國人挺一特質"
8月PMI連4月擴張　中經院指廠商觀望美國經濟、降息與選情,https://tw.news.yahoo.com/8%E6%9C%88pmi%E9%80%A34%E6%9C%88%E6%93%B4%E5%BC%B5-%E4%B8%AD%E7%B6%93%E9%99%A2%E6%8C%87%E5%BB%A0%E5%95%86%E8%A7%80%E6%9C%9B%E7%BE%8E%E5%9C%8B%E7%B6%93%E6%BF%9F-%E9%99%8D%E6%81%AF%E8%88%87%E9%81%B8%E6%83%85-110931787.html,,中經院今天（2日）發布8月台灣製造業採購經理人指數（PMI）為53.6％，指數回升1.4，是連續第4個月擴張。台灣非製造業經理人指數（NMI）為54.5%，已連續22個月擴張，不過，擴張速度持續趨緩。 根據中經院的資料，8月PMI指數回升，其中，廠商未來6個月展望指數連續7個月擴張，指數卻續跌2.2個百分點、降至52.8%，是今年2月以來最慢擴張速度。中經院院長連賢明說明，主要是受到廠商對於美國經濟、降息與總統大選選情的觀望，加上中國大陸終端需求仍未顯著改善，還有原物料價格回跌的影響。 進一步觀察，8月有4大產業回報PMI擴張，依擴張速度排序為：化學暨生技醫療產業、食品暨紡織產業、電子暨光學產業與基礎原物料產業。交通工具產業回報PMI為持平；電力暨機械設備產業已連續2個月回報PMI為緊縮。 對於景氣後市，連賢明依照8月PMI的調查指出，半導體供應鏈的封測模組與AI相關供應鏈陸續回報拉貨力道有遞延與遲緩跡象，但是整體製造業景氣並未出現反轉，仍屬正面，只是跟先前相比稍微保守。 非製造業NMI指數續跌2.8個百分點、降至54.5%，連續22個月擴張。非製造業未來展望指數連續10個月擴張，而指數持續下跌3.2個百分點至54.6%，為2023年12月以來最慢擴張速度。 非製造業的8大產業，有5大產業回報未來6個月展望呈現擴張，依序是：教育暨專業科學業、運輸倉儲業、營造暨不動產業、金融保險業與批發業。只有住宿餐飲業回報未來6個月展望為持平；資訊暨通訊傳播業與零售業則回報呈現緊縮。（張佳琪報導）
限貸令「房貸卡住」發酵！8月六都移轉月減8%　專家：9月也會反映,https://tw.news.yahoo.com/%E9%99%90%E8%B2%B8%E4%BB%A4-%E6%88%BF%E8%B2%B8%E5%8D%A1%E4%BD%8F-%E7%99%BC%E9%85%B5-8%E6%9C%88%E5%85%AD%E9%83%BD%E7%A7%BB%E8%BD%89%E6%9C%88%E6%B8%9B8-%E5%B0%88%E5%AE%B6-104024436.html,,記者王翊綺／台北報導 新青安政策點燃房市野火，銀行放款過度集中於不動產，引爆「限貸令」風波。信義房屋不動產企研室專案經理曾敬德指出，8月六都建物買賣移轉棟數為2.45萬棟，雖仍較去年同期增加21%，但月減8%，顯示銀行房貸卡卡造成8月交易降溫，9月移轉應該也會出現反映。 7月房市交易狀況仍暢旺，直到8月開始明顯動能漸緩，銀行房貸卡卡影響顯著，因此7月交易到8月過戶就出現了移轉月減現象，8月六都建物買賣移轉棟數為2.45萬棟，月減8%，但仍較去年同期增加21%，信義房屋不動產企研室專案經理曾敬德表示，7月還少2天颱風放假的工作天，8月可以辦理過戶的工作天數比7月多出3天，可見民俗月與房貸吃緊狀況的確對於交易移轉產生影響。 統計顯示，8月六都建物買賣移轉棟數2.45萬棟，年增21%，但月減8%，六都除了台南以外，都繳出移轉棟數月減的表現，台北市8月建物買賣移轉棟數2560棟，月減13%，新北5747棟月減4%，桃園市4727棟月減5%，台中市4996棟月減16%，台南市2510棟月增8%，高雄市3987棟月減8%。 曾敬德指出，銀行房貸卡卡造成8月交易降溫，9月移轉應該也會出現反映，近期政府已經出來喊話，未來房貸撥款狀況與速度應該會穩定一些，不過央行認定金融風險正在攀升，銀行房貸即使不影響首購、都更危老與企業投資，但在風險意識提高之下，要觀察未來是否授信條件趨緊，銀行鑑價、寬限期與房貸年限等變化。 更多三立新聞網報導央行又找銀行喝咖啡！敦促處理民眾「申請房貸困難」案 無殼蝸牛設專線最低工資挑戰連9漲「時薪190元」！工商協進會曬數據：中小企業面臨困境現階段AI只是起手式！吳田玉曝「台廠艱難點」籲跨界合作：廣結善緣台積電2030日本設三廠？郭智輝改口「無法代答」 談台獨家供輝達晶片 看更多相關新聞民眾貸不到款？央行再邀22家銀行「喝咖啡」 四重點、兩措施出爐限貸亂象！楊金龍邀22家國銀「喝咖啡」銀行說法一次看房市近1年首見降溫！專家曝「2觀察指標」賴清德指銀行因應過當 李彥秀：應該先檢討新青安政策
